Store,Date,Sales,Open
49,2015-07-30,8996,1
50,2015-07-30,5324,1
1,2015-07-29,4782,1
2,2015-07-29,6402,1
3,2015-07-29,7610,1
4,2015-07-29,10514,1
5,2015-07-29,5899,1
6,2015-07-29,5275,1
7,2015-07-29,12074,1
8,2015-07-29,7029,1
9,2015-07-29,7776,1
10,2015-07-29,5524,1
11,2015-07-29,8378,1
12,2015-07-29,9236,1
13,2015-07-29,6648,1
14,2015-07-29,5412,1
15,2015-07-29,7583,1
16,2015-07-29,9471,1
17,2015-07-29,7179,1
18,2015-07-29,7833,1
19,2015-07-29,7182,1
20,2015-07-29,10728,1
21,2015-07-29,7337,1
22,2015-07-29,5551,1
23,2015-07-29,6319,1
24,2015-07-29,10362,1
25,2015-07-29,10527,1
26,2015-07-29,7298,1
27,2015-07-29,10318,1
28,2015-07-29,5547,1
29,2015-07-29,7564,1
30,2015-07-29,4551,1
31,2015-07-29,5982,1
32,2015-07-29,4869,1
33,2015-07-29,7028,1
34,2015-07-29,8658,1
35,2015-07-29,10634,1
36,2015-07-29,11962,1
37,2015-07-29,7442,1
38,2015-07-29,6595,1
39,2015-07-29,5617,1
40,2015-07-29,5004,1
41,2015-07-29,5673,1
42,2015-07-29,10932,1
43,2015-07-29,6960,1
44,2015-07-29,5649,1
45,2015-07-29,5341,1
46,2015-07-29,6955,1
47,2015-07-29,8051,1
48,2015-07-29,3646,1
49,2015-07-29,9691,1
50,2015-07-29,4946,1
1,2015-07-28,5011,1
2,2015-07-28,5671,1
3,2015-07-28,8864,1
4,2015-07-28,10275,1
5,2015-07-28,6083,1
6,2015-07-28,4839,1
7,2015-07-28,12342,1
8,2015-07-28,6717,1
9,2015-07-28,8751,1
10,2015-07-28,6140,1
11,2015-07-28,6938,1
12,2015-07-28,8822,1
13,2015-07-28,6819,1
14,2015-07-28,5957,1
15,2015-07-28,7516,1
16,2015-07-28,9695,1
17,2015-07-28,9316,1
18,2015-07-28,7704,1
19,2015-07-28,7717,1
20,2015-07-28,10884,1
21,2015-07-28,7948,1
22,2015-07-28,5761,1
23,2015-07-28,5923,1
24,2015-07-28,11129,1
25,2015-07-28,10865,1
26,2015-07-28,7926,1
27,2015-07-28,10956,1
28,2015-07-28,6001,1
29,2015-07-28,8450,1
30,2015-07-28,4925,1
31,2015-07-28,5736,1
32,2015-07-28,5679,1
33,2015-07-28,8268,1
34,2015-07-28,9169,1
35,2015-07-28,10877,1
36,2015-07-28,10846,1
37,2015-07-28,7976,1
38,2015-07-28,6650,1
39,2015-07-28,6145,1
40,2015-07-28,5387,1
41,2015-07-28,5600,1
42,2015-07-28,10896,1
43,2015-07-28,7180,1
44,2015-07-28,6130,1
45,2015-07-28,5504,1
46,2015-07-28,6385,1
47,2015-07-28,8066,1
48,2015-07-28,3598,1
49,2015-07-28,9694,1
50,2015-07-28,5115,1
1,2015-07-27,6102,1
2,2015-07-27,6627,1
3,2015-07-27,8107,1
4,2015-07-27,11812,1
5,2015-07-27,7059,1
6,2015-07-27,5723,1
7,2015-07-27,14869,1
8,2015-07-27,8739,1
9,2015-07-27,10649,1
10,2015-07-27,7212,1
11,2015-07-27,8796,1
12,2015-07-27,10227,1
13,2015-07-27,7926,1
14,2015-07-27,6614,1
15,2015-07-27,9053,1
16,2015-07-27,10260,1
17,2015-07-27,8293,1
18,2015-07-27,10055,1
19,2015-07-27,8825,1
20,2015-07-27,11255,1
21,2015-07-27,9657,1
22,2015-07-27,7114,1
23,2015-07-27,8488,1
24,2015-07-27,13096,1
25,2015-07-27,11806,1
26,2015-07-27,11328,1
27,2015-07-27,12322,1
28,2015-07-27,7392,1
29,2015-07-27,11659,1
30,2015-07-27,5235,1
31,2015-07-27,8054,1
32,2015-07-27,5947,1
33,2015-07-27,9866,1
34,2015-07-27,10274,1
35,2015-07-27,13740,1
36,2015-07-27,12582,1
37,2015-07-27,9573,1
38,2015-07-27,8759,1
39,2015-07-27,7084,1
40,2015-07-27,5282,1
41,2015-07-27,7295,1
42,2015-07-27,12420,1
43,2015-07-27,8816,1
44,2015-07-27,8206,1
45,2015-07-27,7450,1
46,2015-07-27,10068,1
47,2015-07-27,8633,1
48,2015-07-27,4405,1
49,2015-07-27,10561,1
50,2015-07-27,6684,1
1,2015-07-25,4364,1
2,2015-07-25,2512,1
3,2015-07-25,3878,1
4,2015-07-25,9322,1
5,2015-07-25,2030,1
6,2015-07-25,2892,1
7,2015-07-25,6574,1
8,2015-07-25,3288,1
9,2015-07-25,5330,1
10,2015-07-25,4713,1
11,2015-07-25,4712,1
12,2015-07-25,5185,1
13,2015-07-25,4361,1
14,2015-07-25,2952,1
15,2015-07-25,5209,1
16,2015-07-25,6105,1
17,2015-07-25,2572,1
18,2015-07-25,4416,1
19,2015-07-25,3562,1
20,2015-07-25,6588,1
21,2015-07-25,5808,1
22,2015-07-25,3540,1
23,2015-07-25,4191,1
24,2015-07-25,5916,1
25,2015-07-25,7285,1
26,2015-07-25,5568,1
27,2015-07-25,5120,1
28,2015-07-25,1864,1
29,2015-07-25,6084,1
30,2015-07-25,2513,1
31,2015-07-25,5403,1
32,2015-07-25,2532,1
33,2015-07-25,7188,1
34,2015-07-25,7089,1
35,2015-07-25,6557,1
36,2015-07-25,10830,1
37,2015-07-25,6547,1
38,2015-07-25,5559,1
39,2015-07-25,2022,1
40,2015-07-25,3496,1
41,2015-07-25,6217,1
42,2015-07-25,6044,1
43,2015-07-25,3931,1
44,2015-07-25,2755,1
45,2015-07-25,5828,1
46,2015-07-25,5257,1
47,2015-07-25,4845,1
48,2015-07-25,2090,1
49,2015-07-25,8302,1
50,2015-07-25,4356,1
1,2015-07-24,3706,1
2,2015-07-24,3854,1
3,2015-07-24,5080,1
4,2015-07-24,8322,1
5,2015-07-24,3815,1
6,2015-07-24,3804,1
7,2015-07-24,9203,1
8,2015-07-24,4917,1
9,2015-07-24,5464,1
10,2015-07-24,6152,1
11,2015-07-24,6192,1
12,2015-07-24,6078,1
13,2015-07-24,3483,1
14,2015-07-24,4775,1
15,2015-07-24,5255,1
16,2015-07-24,7781,1
17,2015-07-24,4443,1
18,2015-07-24,6409,1
19,2015-07-24,5330,1
20,2015-07-24,7988,1
21,2015-07-24,4138,1
22,2015-07-24,5221,1
23,2015-07-24,4483,1
24,2015-07-24,7692,1
25,2015-07-24,7165,1
26,2015-07-24,6003,1
27,2015-07-24,6382,1
28,2015-07-24,3970,1
29,2015-07-24,6419,1
30,2015-07-24,2722,1
31,2015-07-24,5856,1
32,2015-07-24,3416,1
33,2015-07-24,6789,1
34,2015-07-24,6262,1
35,2015-07-24,8602,1
36,2015-07-24,9825,1
37,2015-07-24,5547,1
38,2015-07-24,4366,1
39,2015-07-24,3448,1
40,2015-07-24,3941,1
41,2015-07-24,6038,1
42,2015-07-24,8577,1
43,2015-07-24,5554,1
44,2015-07-24,4224,1
45,2015-07-24,4906,1
46,2015-07-24,4902,1
47,2015-07-24,5599,1
48,2015-07-24,2821,1
49,2015-07-24,7199,1
50,2015-07-24,3682,1
1,2015-07-23,3769,1
2,2015-07-23,4108,1
3,2015-07-23,5702,1
4,2015-07-23,7286,1
5,2015-07-23,3713,1
6,2015-07-23,3482,1
7,2015-07-23,9550,1
8,2015-07-23,6109,1
9,2015-07-23,6471,1
10,2015-07-23,6401,1
11,2015-07-23,6151,1
12,2015-07-23,5784,1
13,2015-07-23,3959,1
14,2015-07-23,4080,1
15,2015-07-23,5623,1
16,2015-07-23,7865,1
17,2015-07-23,5328,1
18,2015-07-23,6450,1
19,2015-07-23,5465,1
20,2015-07-23,9262,1
21,2015-07-23,4340,1
22,2015-07-23,4390,1
23,2015-07-23,4311,1
24,2015-07-23,7534,1
25,2015-07-23,8323,1
26,2015-07-23,6204,1
27,2015-07-23,6749,1
28,2015-07-23,3607,1
29,2015-07-23,5590,1
30,2015-07-23,3364,1
31,2015-07-23,4683,1
32,2015-07-23,3528,1
33,2015-07-23,6090,1
34,2015-07-23,6713,1
35,2015-07-23,7779,1
36,2015-07-23,9949,1
37,2015-07-23,5196,1
38,2015-07-23,4232,1
39,2015-07-23,3802,1
40,2015-07-23,4027,1
41,2015-07-23,5578,1
42,2015-07-23,8036,1
43,2015-07-23,4917,1
44,2015-07-23,4460,1
45,2015-07-23,4456,1
46,2015-07-23,4350,1
47,2015-07-23,6246,1
48,2015-07-23,2834,1
49,2015-07-23,6284,1
50,2015-07-23,3794,1
1,2015-07-22,3464,1
2,2015-07-22,5093,1
3,2015-07-22,5414,1
4,2015-07-22,8503,1
5,2015-07-22,3595,1
6,2015-07-22,3469,1
7,2015-07-22,8214,1
8,2015-07-22,4996,1
9,2015-07-22,5649,1
10,2015-07-22,5561,1
11,2015-07-22,7185,1
12,2015-07-22,6201,1
13,2015-07-22,3164,1
14,2015-07-22,4409,1
15,2015-07-22,4899,1
16,2015-07-22,6779,1
17,2015-07-22,4952,1
18,2015-07-22,5940,1
19,2015-07-22,4826,1
20,2015-07-22,7264,1
21,2015-07-22,4162,1
22,2015-07-22,4058,1
23,2015-07-22,4364,1
24,2015-07-22,7706,1
25,2015-07-22,9047,1
26,2015-07-22,4332,1
27,2015-07-22,6789,1
28,2015-07-22,3197,1
29,2015-07-22,5562,1
30,2015-07-22,3094,1
31,2015-07-22,4553,1
32,2015-07-22,3870,1
33,2015-07-22,6561,1
34,2015-07-22,6209,1
35,2015-07-22,8181,1
36,2015-07-22,9981,1
37,2015-07-22,4802,1
38,2015-07-22,4139,1
39,2015-07-22,3817,1
40,2015-07-22,3982,1
41,2015-07-22,4125,1
42,2015-07-22,9065,1
43,2015-07-22,4517,1
44,2015-07-22,4166,1
45,2015-07-22,4122,1
46,2015-07-22,3651,1
47,2015-07-22,5881,1
48,2015-07-22,2694,1
49,2015-07-22,5985,1
50,2015-07-22,3273,1
1,2015-07-21,3558,1
2,2015-07-21,3836,1
3,2015-07-21,5600,1
4,2015-07-21,9176,1
5,2015-07-21,3497,1
6,2015-07-21,3720,1
7,2015-07-21,9169,1
8,2015-07-21,5168,1
9,2015-07-21,5873,1
10,2015-07-21,6479,1
11,2015-07-21,6315,1
12,2015-07-21,6314,1
13,2015-07-21,3080,1
14,2015-07-21,4518,1
15,2015-07-21,5449,1
16,2015-07-21,7274,1
17,2015-07-21,5847,1
18,2015-07-21,5207,1
19,2015-07-21,5362,1
20,2015-07-21,7759,1
21,2015-07-21,3620,1
22,2015-07-21,4487,1
23,2015-07-21,4089,1
24,2015-07-21,8227,1
25,2015-07-21,8718,1
26,2015-07-21,5237,1
27,2015-07-21,7727,1
28,2015-07-21,3883,1
29,2015-07-21,6701,1
30,2015-07-21,3627,1
31,2015-07-21,4128,1
32,2015-07-21,3110,1
33,2015-07-21,6981,1
34,2015-07-21,6427,1
35,2015-07-21,7833,1
36,2015-07-21,9232,1
37,2015-07-21,5149,1
38,2015-07-21,4198,1
39,2015-07-21,3855,1
40,2015-07-21,5224,1
41,2015-07-21,5043,1
42,2015-07-21,8334,1
43,2015-07-21,5377,1
44,2015-07-21,3869,1
45,2015-07-21,4048,1
46,2015-07-21,3459,1
47,2015-07-21,5770,1
48,2015-07-21,2868,1
49,2015-07-21,6133,1
50,2015-07-21,3068,1
1,2015-07-20,4395,1
2,2015-07-20,4435,1
3,2015-07-20,5798,1
4,2015-07-20,10283,1
5,2015-07-20,4183,1
6,2015-07-20,4301,1
7,2015-07-20,10159,1
8,2015-07-20,5956,1
9,2015-07-20,7152,1
10,2015-07-20,6111,1
11,2015-07-20,7733,1
12,2015-07-20,6754,1
13,2015-07-20,3868,1
14,2015-07-20,4780,1
15,2015-07-20,6898,1
16,2015-07-20,7632,1
17,2015-07-20,5908,1
18,2015-07-20,6336,1
19,2015-07-20,6635,1
20,2015-07-20,9384,1
21,2015-07-20,4170,1
22,2015-07-20,4675,1
23,2015-07-20,5729,1
24,2015-07-20,9362,1
25,2015-07-20,10493,1
26,2015-07-20,6417,1
27,2015-07-20,7437,1
28,2015-07-20,4338,1
29,2015-07-20,7101,1
30,2015-07-20,3405,1
31,2015-07-20,4902,1
32,2015-07-20,4668,1
33,2015-07-20,7160,1
34,2015-07-20,8104,1
35,2015-07-20,8752,1
36,2015-07-20,11433,1
37,2015-07-20,5804,1
38,2015-07-20,5221,1
39,2015-07-20,4483,1
40,2015-07-20,4554,1
41,2015-07-20,5019,1
42,2015-07-20,8781,1
43,2015-07-20,6031,1
44,2015-07-20,4915,1
45,2015-07-20,4571,1
46,2015-07-20,4225,1
47,2015-07-20,6195,1
48,2015-07-20,3236,1
49,2015-07-20,6286,1
50,2015-07-20,3877,1
1,2015-07-18,4406,1
2,2015-07-18,3417,1
3,2015-07-18,4258,1
4,2015-07-18,9703,1
5,2015-07-18,2108,1
6,2015-07-18,2915,1
7,2015-07-18,6861,1
8,2015-07-18,3813,1
9,2015-07-18,5987,1
10,2015-07-18,5761,1
11,2015-07-18,5740,1
12,2015-07-18,7213,1
13,2015-07-18,4956,1
14,2015-07-18,3254,1
15,2015-07-18,5770,1
16,2015-07-18,5288,1
17,2015-07-18,2608,1
18,2015-07-18,4677,1
19,2015-07-18,4795,1
20,2015-07-18,5287,1
21,2015-07-18,7524,1
22,2015-07-18,3578,1
23,2015-07-18,4364,1
24,2015-07-18,7653,1
25,2015-07-18,7861,1
26,2015-07-18,5221,1
27,2015-07-18,7075,1
28,2015-07-18,2132,1
29,2015-07-18,7534,1
30,2015-07-18,3335,1
31,2015-07-18,5585,1
32,2015-07-18,2330,1
33,2015-07-18,8695,1
34,2015-07-18,8135,1
35,2015-07-18,9339,1
36,2015-07-18,10169,1
37,2015-07-18,7017,1
38,2015-07-18,6351,1
39,2015-07-18,2419,1
40,2015-07-18,4579,1
41,2015-07-18,4990,1
42,2015-07-18,7498,1
43,2015-07-18,4223,1
44,2015-07-18,3289,1
45,2015-07-18,6496,1
46,2015-07-18,3984,1
47,2015-07-18,5395,1
48,2015-07-18,2729,1
49,2015-07-18,8158,1
50,2015-07-18,4835,1
1,2015-07-17,4852,1
2,2015-07-17,4518,1
3,2015-07-17,6679,1
4,2015-07-17,10514,1
5,2015-07-17,4355,1
6,2015-07-17,4422,1
7,2015-07-17,10339,1
8,2015-07-17,6728,1
9,2015-07-17,6845,1
10,2015-07-17,5356,1
11,2015-07-17,7757,1
12,2015-07-17,7684,1
13,2015-07-17,5740,1
14,2015-07-17,5346,1
15,2015-07-17,9368,1
16,2015-07-17,7605,1
17,2015-07-17,6243,1
18,2015-07-17,7660,1
19,2015-07-17,6384,1
20,2015-07-17,8117,1
21,2015-07-17,6745,1
22,2015-07-17,5369,1
23,2015-07-17,5551,1
24,2015-07-17,9283,1
25,2015-07-17,9155,1
26,2015-07-17,7535,1
27,2015-07-17,8617,1
28,2015-07-17,4676,1
29,2015-07-17,6526,1
30,2015-07-17,3033,1
31,2015-07-17,6013,1
32,2015-07-17,4850,1
33,2015-07-17,7163,1
34,2015-07-17,8251,1
35,2015-07-17,11195,1
36,2015-07-17,9388,1
37,2015-07-17,7645,1
38,2015-07-17,6043,1
39,2015-07-17,4268,1
40,2015-07-17,4772,1
41,2015-07-17,5973,1
42,2015-07-17,9212,1
43,2015-07-17,6639,1
44,2015-07-17,5117,1
45,2015-07-17,5420,1
46,2015-07-17,5013,1
47,2015-07-17,7770,1
48,2015-07-17,3552,1
49,2015-07-17,8525,1
50,2015-07-17,4684,1
1,2015-07-16,4427,1
2,2015-07-16,5062,1
3,2015-07-16,7909,1
4,2015-07-16,11432,1
5,2015-07-16,4963,1
6,2015-07-16,5115,1
7,2015-07-16,10774,1
8,2015-07-16,8808,1
9,2015-07-16,8113,1
10,2015-07-16,6275,1
11,2015-07-16,8149,1
12,2015-07-16,9234,1
13,2015-07-16,5921,1
14,2015-07-16,6152,1
15,2015-07-16,8501,1
16,2015-07-16,7954,1
17,2015-07-16,7231,1
18,2015-07-16,6887,1
19,2015-07-16,7328,1
20,2015-07-16,9100,1
21,2015-07-16,6018,1
22,2015-07-16,4842,1
23,2015-07-16,5822,1
24,2015-07-16,10703,1
25,2015-07-16,12281,1
26,2015-07-16,7781,1
27,2015-07-16,11297,1
28,2015-07-16,5579,1
29,2015-07-16,7603,1
30,2015-07-16,4520,1
31,2015-07-16,6893,1
32,2015-07-16,4506,1
33,2015-07-16,7498,1
34,2015-07-16,8960,1
35,2015-07-16,12700,1
36,2015-07-16,9954,1
37,2015-07-16,7506,1
38,2015-07-16,5532,1
39,2015-07-16,5557,1
40,2015-07-16,4707,1
41,2015-07-16,5209,1
42,2015-07-16,11043,1
43,2015-07-16,6793,1
44,2015-07-16,5517,1
45,2015-07-16,6589,1
46,2015-07-16,4819,1
47,2015-07-16,8858,1
48,2015-07-16,4288,1
49,2015-07-16,7847,1
50,2015-07-16,5032,1
1,2015-07-15,4767,1
2,2015-07-15,6406,1
3,2015-07-15,8663,1
4,2015-07-15,11126,1
5,2015-07-15,6323,1
6,2015-07-15,4582,1
7,2015-07-15,10095,1
8,2015-07-15,7932,1
9,2015-07-15,7013,1
10,2015-07-15,6423,1
11,2015-07-15,9645,1
12,2015-07-15,10008,1
13,2015-07-15,10334,1
14,2015-07-15,6143,1
15,2015-07-15,7885,1
16,2015-07-15,10099,1
17,2015-07-15,8172,1
18,2015-07-15,7933,1
19,2015-07-15,7485,1
20,2015-07-15,8262,1
21,2015-07-15,6377,1
22,2015-07-15,4841,1
23,2015-07-15,5604,1
24,2015-07-15,11869,1
25,2015-07-15,12171,1
26,2015-07-15,7984,1
27,2015-07-15,10741,1
28,2015-07-15,6012,1
29,2015-07-15,8383,1
30,2015-07-15,4412,1
31,2015-07-15,6300,1
32,2015-07-15,6320,1
33,2015-07-15,8467,1
34,2015-07-15,9781,1
35,2015-07-15,11418,1
36,2015-07-15,11512,1
37,2015-07-15,7088,1
38,2015-07-15,6837,1
39,2015-07-15,5729,1
40,2015-07-15,4609,1
41,2015-07-15,6267,1
42,2015-07-15,11779,1
43,2015-07-15,7041,1
44,2015-07-15,6324,1
45,2015-07-15,4743,1
46,2015-07-15,5216,1
47,2015-07-15,9429,1
48,2015-07-15,4099,1
49,2015-07-15,7647,1
50,2015-07-15,4535,1
1,2015-07-14,5042,1
2,2015-07-14,6122,1
3,2015-07-14,8625,1
4,2015-07-14,12315,1
5,2015-07-14,6144,1
6,2015-07-14,5758,1
7,2015-07-14,12294,1
8,2015-07-14,8845,1
9,2015-07-14,7841,1
10,2015-07-14,7491,1
11,2015-07-14,9319,1
12,2015-07-14,9336,1
13,2015-07-14,6422,1
14,2015-07-14,6509,1
15,2015-07-14,7857,1
16,2015-07-14,9986,1
17,2015-07-14,8241,1
18,2015-07-14,7632,1
19,2015-07-14,8545,1
20,2015-07-14,10139,1
21,2015-07-14,6835,1
22,2015-07-14,5027,1
23,2015-07-14,7596,1
24,2015-07-14,11998,1
25,2015-07-14,12233,1
26,2015-07-14,8662,1
27,2015-07-14,13482,1
28,2015-07-14,6503,1
29,2015-07-14,8504,1
30,2015-07-14,5691,1
31,2015-07-14,6316,1
32,2015-07-14,5093,1
33,2015-07-14,9447,1
34,2015-07-14,9846,1
35,2015-07-14,13423,1
36,2015-07-14,10831,1
37,2015-07-14,7779,1
38,2015-07-14,7336,1
39,2015-07-14,6295,1
40,2015-07-14,5667,1
41,2015-07-14,6055,1
42,2015-07-14,11118,1
43,2015-07-14,7600,1
44,2015-07-14,6647,1
45,2015-07-14,5812,1
46,2015-07-14,5206,1
47,2015-07-14,8607,1
48,2015-07-14,3903,1
49,2015-07-14,8814,1
50,2015-07-14,5321,1
1,2015-07-13,5054,1
2,2015-07-13,6874,1
3,2015-07-13,9462,1
4,2015-07-13,13550,1
5,2015-07-13,7425,1
6,2015-07-13,6827,1
7,2015-07-13,13250,1
8,2015-07-13,9117,1
9,2015-07-13,10399,1
10,2015-07-13,6757,1
11,2015-07-13,10434,1
12,2015-07-13,11730,1
13,2015-07-13,7525,1
14,2015-07-13,7202,1
15,2015-07-13,8691,1
16,2015-07-13,11932,1
17,2015-07-13,10029,1
18,2015-07-13,9887,1
19,2015-07-13,9689,1
20,2015-07-13,10240,1
21,2015-07-13,8247,1
22,2015-07-13,6828,1
23,2015-07-13,8687,1
24,2015-07-13,13645,1
25,2015-07-13,11899,1
26,2015-07-13,10071,1
27,2015-07-13,12121,1
28,2015-07-13,7661,1
29,2015-07-13,12305,1
30,2015-07-13,5312,1
31,2015-07-13,7116,1
32,2015-07-13,6391,1
33,2015-07-13,10305,1
34,2015-07-13,11688,1
35,2015-07-13,17229,1
36,2015-07-13,12377,1
37,2015-07-13,9105,1
38,2015-07-13,11101,1
39,2015-07-13,6723,1
40,2015-07-13,4584,1
41,2015-07-13,7029,1
42,2015-07-13,14576,1
43,2015-07-13,8838,1
44,2015-07-13,8001,1
45,2015-07-13,7836,1
46,2015-07-13,6109,1
47,2015-07-13,10168,1
48,2015-07-13,4964,1
49,2015-07-13,10338,1
50,2015-07-13,7614,1
1,2015-07-11,3530,1
2,2015-07-11,2677,1
3,2015-07-11,4011,1
4,2015-07-11,10996,1
5,2015-07-11,2023,1
6,2015-07-11,3134,1
7,2015-07-11,6425,1
8,2015-07-11,3707,1
9,2015-07-11,5076,1
10,2015-07-11,4636,1
11,2015-07-11,5756,1
12,2015-07-11,6612,1
13,2015-07-11,4031,1
14,2015-07-11,3103,1
15,2015-07-11,5738,1
16,2015-07-11,5414,1
17,2015-07-11,3034,1
18,2015-07-11,4940,1
19,2015-07-11,3718,1
20,2015-07-11,5332,1
21,2015-07-11,5519,1
22,2015-07-11,3480,1
23,2015-07-11,4219,1
24,2015-07-11,6579,1
25,2015-07-11,7996,1
26,2015-07-11,5642,1
27,2015-07-11,6981,1
28,2015-07-11,2069,1
29,2015-07-11,6546,1
30,2015-07-11,3567,1
31,2015-07-11,5200,1
32,2015-07-11,2589,1
33,2015-07-11,7107,1
34,2015-07-11,8079,1
35,2015-07-11,7798,1
36,2015-07-11,9817,1
37,2015-07-11,7293,1
38,2015-07-11,6272,1
39,2015-07-11,2527,1
40,2015-07-11,4951,1
41,2015-07-11,5312,1
42,2015-07-11,6907,1
43,2015-07-11,3267,1
44,2015-07-11,2813,1
45,2015-07-11,5350,1
46,2015-07-11,5310,1
47,2015-07-11,5563,1
48,2015-07-11,2327,1
49,2015-07-11,7221,1
50,2015-07-11,3578,1
1,2015-07-10,3808,1
2,2015-07-10,4384,1
3,2015-07-10,6316,1
4,2015-07-10,9177,1
5,2015-07-10,4252,1
6,2015-07-10,4530,1
7,2015-07-10,9499,1
8,2015-07-10,6067,1
9,2015-07-10,6007,1
10,2015-07-10,5747,1
11,2015-07-10,6979,1
12,2015-07-10,6730,1
13,2015-07-10,3639,1
14,2015-07-10,4981,1
15,2015-07-10,6323,1
16,2015-07-10,7768,1
17,2015-07-10,5451,1
18,2015-07-10,7818,1
19,2015-07-10,5531,1
20,2015-07-10,7201,1
21,2015-07-10,4809,1
22,2015-07-10,4038,1
23,2015-07-10,4850,1
24,2015-07-10,8889,1
25,2015-07-10,9300,1
26,2015-07-10,6046,1
27,2015-07-10,8059,1
28,2015-07-10,4273,1
29,2015-07-10,6031,1
30,2015-07-10,3297,1
31,2015-07-10,5862,1
32,2015-07-10,4156,1
33,2015-07-10,6539,1
34,2015-07-10,7179,1
35,2015-07-10,11506,1
36,2015-07-10,8277,1
37,2015-07-10,6337,1
38,2015-07-10,4552,1
39,2015-07-10,3620,1
40,2015-07-10,3286,1
41,2015-07-10,5146,1
42,2015-07-10,8564,1
43,2015-07-10,5421,1
44,2015-07-10,4939,1
45,2015-07-10,4765,1
46,2015-07-10,4457,1
47,2015-07-10,6679,1
48,2015-07-10,3205,1
49,2015-07-10,7894,1
50,2015-07-10,3780,1
1,2015-07-09,3897,1
2,2015-07-09,4082,1
3,2015-07-09,6613,1
4,2015-07-09,9093,1
5,2015-07-09,4601,1
6,2015-07-09,4095,1
7,2015-07-09,9608,1
8,2015-07-09,5602,1
9,2015-07-09,6285,1
10,2015-07-09,4871,1
11,2015-07-09,6595,1
12,2015-07-09,6090,1
13,2015-07-09,4350,1
14,2015-07-09,5050,1
15,2015-07-09,5609,1
16,2015-07-09,6867,1
17,2015-07-09,5478,1
18,2015-07-09,6382,1
19,2015-07-09,5230,1
20,2015-07-09,9084,1
21,2015-07-09,3484,1
22,2015-07-09,4534,1
23,2015-07-09,4986,1
24,2015-07-09,8638,1
25,2015-07-09,10159,1
26,2015-07-09,6397,1
27,2015-07-09,8294,1
28,2015-07-09,4241,1
29,2015-07-09,6947,1
30,2015-07-09,3707,1
31,2015-07-09,4927,1
32,2015-07-09,3337,1
33,2015-07-09,7579,1
34,2015-07-09,7606,1
35,2015-07-09,9876,1
36,2015-07-09,8055,1
37,2015-07-09,6247,1
38,2015-07-09,4707,1
39,2015-07-09,3894,1
40,2015-07-09,3873,1
41,2015-07-09,5512,1
42,2015-07-09,8626,1
43,2015-07-09,5115,1
44,2015-07-09,3852,1
45,2015-07-09,4006,1
46,2015-07-09,4511,1
47,2015-07-09,6747,1
48,2015-07-09,2782,1
